时间,振幅,总手,金额,换手率,成交次数,,,,
"2019-05-13,一",0.0297 ,4663718 ,4179329400 ,0.37,4056 ,,,,
"2019-05-14,二",0.0370 ,5998312 ,5349455600 ,0.48,4477 ,,,,
"2019-05-15,三",0.0482 ,6312425 ,5778791800 ,0.5,4491 ,,,,
"2019-05-16,四",0.0291 ,4454012 ,4108282000 ,0.35,4176 ,,,,
"2019-05-17,五",0.0346 ,4984161 ,4551116800 ,0.4,4399 ,,,,
"2019-05-20,一",0.0320 ,4440799 ,3931645900 ,0.35,4207 ,,,,
"2019-05-21,二",0.0429 ,4238565 ,3791406200 ,0.34,4232 ,,,,
"2019-05-22,三",0.0268 ,3204158 ,2853872800 ,0.26,4086 ,,,,
"2019-05-23,四",0.0313 ,5805863 ,5062812300 ,0.46,4050 ,,,,
"2019-05-24,五",0.0239 ,4403409 ,3858962200 ,0.35,4061 ,,,,
"2019-05-27,一",0.0261 ,3916191 ,3417213700 ,0.31,4297 ,,,,
"2019-05-28,二",0.0369 ,7477277 ,6670856100 ,0.6,4475 ,,,,
"2019-05-29,三",0.0416 ,6564696 ,5963755400 ,0.52,4446 ,,,,
"2019-05-30,四",0.0315 ,4024720 ,3634187700 ,0.32,4200 ,,,,
"2019-05-31,五",0.0188 ,3579380 ,3211384900 ,0.28,4201 ,,,,
"2019-06-03,一",0.0169 ,3447924 ,3076922300 ,0.27,3995 ,,,,
"2019-06-04,二",0.0274 ,3968948 ,3481384300 ,0.32,4166 ,,,,
"2019-06-05,三",0.0186 ,3406736 ,2988114700 ,0.27,4153 ,,,,
"2019-06-06,四",0.0204 ,3478685 ,3009567800 ,0.28,3911 ,,,,
"2019-06-10,一",0.0452 ,5550246 ,4790052600 ,0.44,4214 ,,,,
"2019-06-11,二",0.0466 ,8010644 ,7209086900 ,0.64,4518 ,,,,
"2019-06-12,三",0.0187 ,3774740 ,3420899300 ,0.3,4066 ,,,,
"2019-06-13,四",0.0169 ,3291742 ,2984741700 ,0.26,3902 ,,,,
"2019-06-14,五",0.0245 ,4245504 ,3905679100 ,0.34,3962 ,,,,
"2019-06-17,一",0.0229 ,3276903 ,3001512200 ,0.26,3926 ,,,,
"2019-06-18,二",0.0191 ,2944138 ,2687679900 ,0.23,3689 ,,,,
"2019-06-19,三",0.0160 ,5372640 ,5051192600 ,0.43,4116 ,,,,
"2019-06-20,四",0.0465 ,6727197 ,6468666100 ,0.54,4550 ,,,,
"2019-06-21,五",0.0205 ,4592675 ,4482726900 ,0.37,4357 ,,,,
"2019-06-24,一",0.0253 ,4577920 ,4532527000 ,0.36,4214 ,,,,
"2019-06-25,二",0.0324 ,5129595 ,5035624400 ,0.41,4244 ,,,,
"2019-06-26,三",0.0140 ,2958818 ,2896585600 ,0.24,3682 ,,,,
"2019-06-27,四",0.0203 ,4797845 ,4772724100 ,0.38,4188 ,,,,
"2019-06-28,五",0.0176 ,3108840 ,3050739300 ,0.25,3452 ,,,,
"2019-07-01,一",0.0360 ,5233723 ,5325575900 ,0.42,4234 ,,,,
"2019-07-02,二",0.0131 ,3906109 ,3989722000 ,0.31,4372 ,,,,
"2019-07-03,三",0.0405 ,6713932 ,6717755700 ,0.53,4401 ,,,,
"2019-07-04,四",0.0198 ,4621668 ,4531686000 ,0.37,4043 ,,,,
"2019-07-05,五",0.0303 ,5003271 ,4968920500 ,0.4,4380 ,,,,
"2019-07-08,一",0.0229 ,3361352 ,3313713100 ,0.27,3990 ,,,,
"2019-07-09,二",0.0210 ,3172332 ,3103986400 ,0.25,3924 ,,,,
"2019-07-10,三",0.0139 ,2816670 ,2774054700 ,0.22,4014 ,,,,
"2019-07-11,四",0.0228 ,3051419 ,3011117100 ,0.24,3942 ,,,,
"2019-07-12,五",0.0117 ,2817385 ,2778938000 ,0.22,3637 ,,,,
"2019-07-15,一",0.0294 ,5987040 ,5785726600 ,0.48,4305 ,,,,
"2019-07-16,二",0.0177 ,3324524 ,3226755600 ,0.26,3744 ,,,,
"2019-07-17,三",0.0112 ,2546887 ,2459954500 ,0.2,3510 ,,,,
"2019-07-18,四",0.0164 ,3925295 ,3748507500 ,0.31,3893 ,,,,
"2019-07-19,五",0.0135 ,2801481 ,2679887400 ,0.22,3692 ,,,,
"2019-07-22,一",0.0144 ,2812549 ,2695084000 ,0.22,3930 ,,,,
"2019-07-23,二",0.0196 ,3248395 ,3087319300 ,0.26,3829 ,,,,
"2019-07-24,三",0.0159 ,4677120 ,4450509800 ,0.37,4411 ,,,,
"2019-07-25,四",0.0266 ,3825570 ,3633246100 ,0.3,4274 ,,,,
"2019-07-26,五",0.0129 ,2646759 ,2556208800 ,0.21,3716 ,,,,
"2019-07-29,一",0.0202 ,2698133 ,2626793600 ,0.21,4103 ,,,,
"2019-07-30,二",0.0123 ,1953797 ,1911965200 ,0.16,3454 ,,,,
"2019-07-31,三",0.0155 ,2252620 ,2191910000 ,0.18,3702 ,,,,
"2019-08-01,四",0.0247 ,3508952 ,3385045900 ,0.28,4270 ,,,,
"2019-08-02,五",0.0156 ,3971940 ,3772328900 ,0.32,4065 ,,,,
"2019-08-05,一",0.0147 ,3677431 ,3473341300 ,0.29,4128 ,,,,
"2019-08-06,二",0.0257 ,4399116 ,4121445000 ,0.35,4235 ,,,,
"2019-08-07,三",0.0111 ,2686998 ,2553463400 ,0.21,3783 ,,,,
"2019-08-08,四",0.0233 ,3880813 ,3755087000 ,0.31,4043 ,,,,
"2019-08-09,五",0.0226 ,2846170 ,2760764400 ,0.23,3867 ,,,,
