时间,振幅,总手,金额,换手率,成交次数,,,,
"2021-07-23,五",0.0220 ,4758547 ,9057761900 ,0.38,32342 ,,,,
"2021-07-26,一",0.0521 ,9861948 ,17894361000 ,0.79,64487 ,,,,
"2021-07-27,二",0.0593 ,8657699 ,15230806000 ,0.69,58760 ,,,,
"2021-07-28,三",0.0619 ,8536884 ,14792471000 ,0.68,57123 ,,,,
"2021-07-29,四",0.0501 ,6386385 ,11299569900 ,0.51,44602 ,,,,
"2021-07-30,五",0.0384 ,7773589 ,13109725000 ,0.62,54580 ,,,,
"2021-08-02,一",0.0806 ,9740065 ,16515259000 ,0.78,61592 ,,,,
"2021-08-03,二",0.0457 ,5437475 ,9447823200 ,0.43,36148 ,,,,
"2021-08-04,三",0.0240 ,3817549 ,6614683400 ,0.3,26124 ,,,,
"2021-08-05,四",0.0398 ,4805969 ,8177369900 ,0.38,33818 ,,,,
"2021-08-06,五",0.0279 ,4568610 ,7616109600 ,0.36,32155 ,,,,
"2021-08-09,一",0.0353 ,4769775 ,8028155500 ,0.38,33133 ,,,,
"2021-08-10,二",0.0755 ,8328505 ,14549496000 ,0.66,56178 ,,,,
"2021-08-11,三",0.0195 ,3866259 ,6821292800 ,0.31,28753 ,,,,
"2021-08-12,四",0.0359 ,4755097 ,8130692600 ,0.38,35277 ,,,,
"2021-08-13,五",0.0201 ,3790452 ,6418412500 ,0.3,27895 ,,,,
"2021-08-16,一",0.0168 ,2805697 ,4773049800 ,0.22,21298 ,,,,
"2021-08-17,二",0.0419 ,6120077 ,10140292000 ,0.49,42904 ,,,,
"2021-08-18,三",0.0263 ,5997026 ,9701556300 ,0.48,41324 ,,,,
"2021-08-19,四",0.0267 ,4129195 ,6682355700 ,0.33,30257 ,,,,
"2021-08-20,五",0.0445 ,11454454 ,17825198000 ,0.91,73361 ,,,,
"2021-08-23,一",0.0402 ,7159720 ,11218832900 ,0.57,46584 ,,,,
"2021-08-24,二",0.0489 ,7259447 ,11703813800 ,0.58,51557 ,,,,
"2021-08-25,三",0.0233 ,5423890 ,9037626400 ,0.43,37792 ,,,,
"2021-08-26,四",0.0422 ,5402037 ,8722233200 ,0.43,38318 ,,,,
"2021-08-27,五",0.0256 ,3609545 ,5791426200 ,0.29,24310 ,,,,
"2021-08-30,一",0.0420 ,5158770 ,8098190300 ,0.41,34758 ,,,,
"2021-08-31,二",0.0386 ,4367709 ,6888080900 ,0.35,32525 ,,,,
"2021-09-01,三",0.0667 ,7731610 ,12370243400 ,0.62,53600 ,,,,
"2021-09-02,四",0.0260 ,4283679 ,6939707300 ,0.34,30327 ,,,,
"2021-09-03,五",0.0481 ,5283518 ,8631165700 ,0.42,36407 ,,,,
"2021-09-06,一",0.0495 ,5533806 ,9306030700 ,0.44,38673 ,,,,
"2021-09-07,二",0.0200 ,3121122 ,5204051700 ,0.25,22560 ,,,,
"2021-09-08,三",0.0258 ,3306367 ,5428265600 ,0.26,23957 ,,,,
"2021-09-09,四",0.0129 ,1995013 ,3257785800 ,0.16,15570 ,,,,
"2021-09-10,五",0.0219 ,3338811 ,5528034100 ,0.27,24496 ,,,,
"2021-09-13,一",0.0264 ,2772002 ,4605031700 ,0.22,20162 ,,,,
"2021-09-14,二",0.0181 ,3376061 ,5638962700 ,0.27,24209 ,,,,
"2021-09-15,三",0.0302 ,4157005 ,6781755400 ,0.33,30579 ,,,,
"2021-09-16,四",0.0365 ,4596802 ,7458455100 ,0.37,33577 ,,,,
"2021-09-17,五",0.0523 ,5513025 ,9242101600 ,0.44,39776 ,,,,
"2021-09-22,三",0.0314 ,3174300 ,5227723000 ,0.25,23455 ,,,,
"2021-09-23,四",0.0188 ,3034181 ,4964210100 ,0.24,23821 ,,,,
"2021-09-24,五",0.0563 ,6953660 ,11756596100 ,0.55,47738 ,,,,
"2021-09-27,一",0.0669 ,12686892 ,23270690000 ,1.01,73056 ,,,,
"2021-09-28,二",0.0350 ,4922105 ,8973408800 ,0.39,33370 ,,,,
"2021-09-29,三",0.0324 ,4329065 ,7870151800 ,0.34,29934 ,,,,
"2021-09-30,四",0.0257 ,4053929 ,7411735800 ,0.32,28215 ,,,,
"2021-10-08,五",0.0387 ,4745196 ,8780381100 ,0.38,32474 ,,,,
"2021-10-11,一",0.0320 ,3767557 ,7040475300 ,0.3,25925 ,,,,
"2021-10-12,二",0.0185 ,3060642 ,5688160800 ,0.24,21380 ,,,,
"2021-10-13,三",0.0470 ,5014261 ,9625769100 ,0.4,34044 ,,,,
"2021-10-14,四",0.0237 ,2662255 ,5097602200 ,0.21,18618 ,,,,
"2021-10-15,五",0.0209 ,2856078 ,5452953900 ,0.23,20981 ,,,,
"2021-10-18,一",0.0527 ,6965202 ,12651498600 ,0.55,47015 ,,,,
"2021-10-19,二",0.0216 ,4031456 ,7330114100 ,0.32,28954 ,,,,
"2021-10-20,三",0.0242 ,2866339 ,5246404600 ,0.23,20404 ,,,,
"2021-10-21,四",0.0168 ,2301870 ,4238584300 ,0.18,15605 ,,,,
"2021-10-22,五",0.0363 ,3596260 ,6794850100 ,0.29,25015 ,,,,
"2021-10-25,一",0.0142 ,3246133 ,6076219900 ,0.26,22756 ,,,,
"2021-10-26,二",0.0187 ,2113026 ,3934223700 ,0.17,15001 ,,,,
"2021-10-27,三",0.0313 ,3464729 ,6302270900 ,0.28,23902 ,,,,
"2021-10-28,四",0.0230 ,2949093 ,5383196100 ,0.23,21366 ,,,,
"2021-10-29,五",0.0192 ,2877586 ,5266899000 ,0.23,20617 ,,,,
"2021-11-01,一",0.0363 ,4168998 ,7486936400 ,0.33,27964 ,,,,
"2021-11-02,二",0.0312 ,3250024 ,5875341400 ,0.26,22909 ,,,,
"2021-11-03,三",0.0270 ,2782931 ,4958314500 ,0.22,20445 ,,,,
"2021-11-04,四",0.0264 ,3113043 ,5592211700 ,0.25,22370 ,,,,
"2021-11-05,五",0.0226 ,2707723 ,4956331400 ,0.22,20988 ,,,,
"2021-11-08,一",0.0158 ,1770572 ,3220439300 ,0.14,13295 ,,,,
"2021-11-09,二",0.0252 ,2735192 ,4915170000 ,0.22,19736 ,,,,
"2021-11-10,三",0.0335 ,3534877 ,6204803300 ,0.28,27953 ,,,,
"2021-11-11,四",0.0160 ,2265187 ,3987243300 ,0.18,16468 ,,,,
"2021-11-12,五",0.0104 ,1760663 ,3124401000 ,0.14,13404 ,,,,
"2021-11-15,一",0.0192 ,2494735 ,4410975400 ,0.2,19170 ,,,,
"2021-11-16,二",0.0301 ,3352624 ,6033536300 ,0.27,24306 ,,,,
"2021-11-17,三",0.0169 ,2450546 ,4411450900 ,0.2,19614 ,,,,
"2021-11-18,四",0.0206 ,1952089 ,3485675000 ,0.16,14270 ,,,,
"2021-11-19,五",0.0339 ,3115559 ,5699883800 ,0.25,22766 ,,,,
"2021-11-22,一",0.0334 ,4257268 ,7994018400 ,0.34,29471 ,,,,
"2021-11-23,二",0.0351 ,4578220 ,8676297600 ,0.36,30702 ,,,,
